No,試験区分,年度,科目,演習ID,画面URL,想定左上表示,マーク数,確認ステータス,問題PDFチェック,解答PDF,左上表示,マークシート,満点,順不同件数,システム上の順不同設問,部分点件数,システム上の部分点設問,公式解答との差異メモ
1,本試験,2026,英語リーディング,common/2026/english,https://common-test-share.vercel.app/exam/common/2026/english,共通テスト 英語リーディング 2026,44,要確認,,,,,,4,22・23（答:3・5 / 4点 / 入替パターン登録）； 24・25（答:1・4 / 3点 / 入替パターン登録）； 33・34（答:1・4 / 4点 / 入替パターン登録）； 40・41・42（答:3・5・1 / 4点 / 入替パターン登録）,1,22・23（答:3・1 / 1・5 / 3・2 / 2・5 / 3・3 / 3・4 / 4・5 / 5・5 / 2点 / 部分点）,
2,本試験,2026,英語リスニング,common/2026/english_listening,https://common-test-share.vercel.app/exam/common/2026/english_listening,共通テスト 英語リスニング 2026,37,要確認,,,,,,0,なし,0,なし,
3,本試験,2026,化学,common/2026/chemistry,https://common-test-share.vercel.app/exam/common/2026/chemistry,共通テスト 化学 2026,33,要確認,,,,,,0,なし,0,なし,
4,本試験,2026,公共、政治・経済,common/2026/public_politics_economy,https://common-test-share.vercel.app/exam/common/2026/public_politics_economy,共通テスト 公共、政治・経済 2026,34,要確認,,,,,,0,なし,0,なし,
5,本試験,2026,公共、倫理,common/2026/public_ethics,https://common-test-share.vercel.app/exam/common/2026/public_ethics,共通テスト 公共、倫理 2026,32,要確認,,,,,,0,なし,0,なし,
6,本試験,2026,国語,common/2026/japanese,https://common-test-share.vercel.app/exam/common/2026/japanese,共通テスト 国語 2026,37,要確認,,,,,,0,なし,0,なし,
7,本試験,2026,情報I,common/2026/information_i,https://common-test-share.vercel.app/exam/common/2026/information_i,共通テスト 情報I 2026,60,要確認,,,,,,3,ア・イ（答:2・4 / 3点 / 入替パターン登録）； カ・キ（答:1・2 / 4点 / 入替パターン登録）； キ・ク（答:1・4 / 4点 / 入替パターン登録）,0,なし,
8,本試験,2026,数学I・A,common/2026/math_ia,https://common-test-share.vercel.app/exam/common/2026/math_ia,共通テスト 数学I・A 2026,88,要確認,,,,,,1,ス・セ（答:2・6 / 3点 / orderMatters=false）,0,なし,
9,本試験,2026,数学II・B・C,common/2026/math_iibc,https://common-test-share.vercel.app/exam/common/2026/math_iibc,共通テスト 数学II・B・C 2026,105,要確認,,,,,,2,タ・チ・ツ（答:1・2・4 / 2点 / orderMatters=false）； テ・ト（答:1・4 / 2点 / orderMatters=false）,0,なし,
10,本試験,2026,世界史探究,common/2026/world_history,https://common-test-share.vercel.app/exam/common/2026/world_history,共通テスト 世界史探究 2026,32,要確認,,,,,,0,なし,0,なし,
11,本試験,2026,生物,common/2026/biology,https://common-test-share.vercel.app/exam/common/2026/biology,共通テスト 生物 2026,25,要確認,,,,,,1,7・8（答:3・6 / 6点 / orderMatters=false）,1,23（答:2 / 3 / 1点 / 部分点）,
12,本試験,2026,地理総合・地理探究,common/2026/geography,https://common-test-share.vercel.app/exam/common/2026/geography,共通テスト 地理総合・地理探究 2026,30,要確認,,,,,,0,なし,0,なし,
13,本試験,2026,日本史探究,common/2026/japanese_history,https://common-test-share.vercel.app/exam/common/2026/japanese_history,共通テスト 日本史探究 2026,34,要確認,,,,,,0,なし,0,なし,
14,本試験,2026,物理,common/2026/physics,https://common-test-share.vercel.app/exam/common/2026/physics,共通テスト 物理 2026,22,要確認,,,,,,0,なし,0,なし,
15,本試験,2026,理科基礎,common/2026/science_basics,https://common-test-share.vercel.app/exam/common/2026/science_basics,共通テスト 理科基礎 2026,61,要確認,,,,,,0,なし,0,なし,
16,本試験,2026,歴史総合・公共,common/2026/integrated_history_public,https://common-test-share.vercel.app/exam/common/2026/integrated_history_public,共通テスト 歴史総合・公共 2026,48,要確認,,,,,,0,なし,0,なし,
17,追試験,2026,英語リーディング,common_retake/2026/english,https://common-test-share.vercel.app/exam/common_retake/2026/english,共通テスト 英語リーディング 2026 追試験,44,要確認,,,,,,4,18・19（答:1・5 / 4点 / orderMatters=false）； 29・30（答:1・5 / 3点 / orderMatters=false）； 34・35（答:3・4 / 4点 / orderMatters=false）； 40・41（答:5・2 / 4点 / orderMatters=false）,0,なし,
18,追試験,2026,英語リスニング,common_retake/2026/english_listening,https://common-test-share.vercel.app/exam/common_retake/2026/english_listening,共通テスト 英語リスニング 2026 追試験,37,要確認,,,,,,0,なし,0,なし,
19,追試験,2026,化学,common_retake/2026/chemistry,https://common-test-share.vercel.app/exam/common_retake/2026/chemistry,共通テスト 化学 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
20,追試験,2026,公共、政治・経済,common_retake/2026/public_politics_economy,https://common-test-share.vercel.app/exam/common_retake/2026/public_politics_economy,共通テスト 公共、政治・経済 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
21,追試験,2026,公共、倫理,common_retake/2026/public_ethics,https://common-test-share.vercel.app/exam/common_retake/2026/public_ethics,共通テスト 公共、倫理 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
22,追試験,2026,国語,common_retake/2026/japanese,https://common-test-share.vercel.app/exam/common_retake/2026/japanese,共通テスト 国語 2026 追試験,40,要確認,,,,,,0,なし,0,なし,
23,追試験,2026,情報I,common_retake/2026/information_i,https://common-test-share.vercel.app/exam/common_retake/2026/information_i,共通テスト 情報I 2026 追試験,56,要確認,,,,,,1,キ・ク（答:0・2 / 2点 / orderMatters=false）,0,なし,
24,追試験,2026,数学I・A,common_retake/2026/math_ia,https://common-test-share.vercel.app/exam/common_retake/2026/math_ia,共通テスト 数学I・A 2026 追試験,84,要確認,,,,,,0,なし,0,なし,
25,追試験,2026,数学II・B・C,common_retake/2026/math_iibc,https://common-test-share.vercel.app/exam/common_retake/2026/math_iibc,共通テスト 数学II・B・C 2026 追試験,107,要確認,,,,,,0,なし,0,なし,
26,追試験,2026,世界史探究,common_retake/2026/world_history,https://common-test-share.vercel.app/exam/common_retake/2026/world_history,共通テスト 世界史探究 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
27,追試験,2026,生物,common_retake/2026/biology,https://common-test-share.vercel.app/exam/common_retake/2026/biology,共通テスト 生物 2026 追試験,25,要確認,,,,,,1,11・12（答:1・4 / 6点 / orderMatters=false）,0,なし,
28,追試験,2026,地理総合・地理探究,common_retake/2026/geography,https://common-test-share.vercel.app/exam/common_retake/2026/geography,共通テスト 地理総合・地理探究 2026 追試験,30,要確認,,,,,,0,なし,0,なし,
29,追試験,2026,日本史探究,common_retake/2026/japanese_history,https://common-test-share.vercel.app/exam/common_retake/2026/japanese_history,共通テスト 日本史探究 2026 追試験,33,要確認,,,,,,0,なし,0,なし,
30,追試験,2026,物理,common_retake/2026/physics,https://common-test-share.vercel.app/exam/common_retake/2026/physics,共通テスト 物理 2026 追試験,22,要確認,,,,,,0,なし,0,なし,
31,追試験,2026,理科基礎,common_retake/2026/science_basics,https://common-test-share.vercel.app/exam/common_retake/2026/science_basics,共通テスト 理科基礎 2026 追試験,63,要確認,,,,,,1,115・116（答:3・6 / 4点 / orderMatters=false）,1,117（答:2 / 3 / 1点 / 部分点）,
