"コード","大学名","学部名","学科名"
"006011580610","秋田大学","工学資源","地球資源-前期"
"006011580630","秋田大学","工学資源","地球資源-後期"
"006011580710","秋田大学","工学資源","材料工-前期"
"001006131530","北海道教育大学","教育・旭川校","教員/社会科教育-後期"
"001006131610","北海道教育大学","教育・旭川校","教員/生活・技術教育-前期"
"001006131630","北海道教育大学","教育・旭川校","教員/生活・技術教育-後期"
"001006131810","北海道教育大学","教育・旭川校","教員/音楽教育-前期"
"001006131910","北海道教育大学","教育・旭川校","教員/美術教育-前期"
"001006132010","北海道教育大学","教育・旭川校","教員/保健体育教育-前期"
"001006140910","北海道教育大学","教育・釧路校","教員/地域学校教育-前期"
"001006140930","北海道教育大学","教育・釧路校","教員/地域学校教育-後期"
"001006141010","北海道教育大学","教育・釧路校","教員/地域教育開発-前期"
"001006141030","北海道教育大学","教育・釧路校","教員/地域教育開発-後期"
"001006141110","北海道教育大学","教育・釧路校","教員/学校カリキュラム開発-前期"
"001006141130","北海道教育大学","教育・釧路校","教員/学校カリキュラム開発-後期"
"001006150910","北海道教育大学","教育・岩見沢校","芸術/美術(書以外)-前期"
"001006150930","北海道教育大学","教育・岩見沢校","芸術/美術(書以外)-後期"
"001006151010","北海道教育大学","教育・岩見沢校","芸術/美術(書)-前期"
"001006151030","北海道教育大学","教育・岩見沢校","芸術/美術(書)-後期"
"001006151110","北海道教育大学","教育・岩見沢校","芸術/芸術文化-前期"
"001006151130","北海道教育大学","教育・岩見沢校","芸術/芸術文化-後期"
"001006151210","北海道教育大学","教育・岩見沢校","スポ/スポーツ・コーチング-前期"
"001006151230","北海道教育大学","教育・岩見沢校","スポ/スポーツ・コーチング-後期"
"001006151310","北海道教育大学","教育・岩見沢校","スポ/健康・スポーツ科学-前期"
"001006151330","北海道教育大学","教育・岩見沢校","スポ/健康・スポーツ科学-後期"
"001006151410","北海道教育大学","教育・岩見沢校","スポ/アウトドア・ライフ-前期"
"001006151430","北海道教育大学","教育・岩見沢校","スポ/アウトドア・ライフ-後期"
"001006151510","北海道教育大学","教育・岩見沢校","芸術/音楽(声楽)-前期"
"001006151610","北海道教育大学","教育・岩見沢校","芸術/音楽(鍵盤楽器･作曲)-前期"
"001006151710","北海道教育大学","教育・岩見沢校","芸術/音楽(管弦打楽器)-前期"
"001006151830","北海道教育大学","教育・岩見沢校","芸術/音楽-後期"
"001511510110","室蘭工業大学","工","機械航空創造系-前期"
"001511510130","室蘭工業大学","工","機械航空創造系-後期"
"001511510210","室蘭工業大学","工","情報電子工学系-前期"
"001511510230","室蘭工業大学","工","情報電子工学系-後期"
"001511510310","室蘭工業大学","工","応用理化学系-前期"
"001511510330","室蘭工業大学","工","応用理化学系-後期"
"001511510410","室蘭工業大学","工","建築社会基盤系-前期"
"001511510430","室蘭工業大学","工","建築社会基盤系-後期"
"001535320510","室蘭工業大学","工・夜","機械航空創造系-前期"
"001535320530","室蘭工業大学","工・夜","機械航空創造系-後期"
"001535320610","室蘭工業大学","工・夜","情報電子工学系-前期"
"001535320630","室蘭工業大学","工・夜","情報電子工学系-後期"
"002004010510","小樽商科大学","商","全学科-前期"
"002004010530","小樽商科大学","商","全学科-後期"
"002031920110","小樽商科大学","商・夜","全学科-前期"
"002516530110","帯広畜産大学","畜産","共同獣医学-前期"
"000500380110","北海道大学","総合入試文系","全学科-前期"
"000500390210","北海道大学","総合入試理系","数学重点選抜-前期"
"000500390310","北海道大学","総合入試理系","物理重点選抜-前期"
"000500390410","北海道大学","総合入試理系","化学重点選抜-前期"
"000500390510","北海道大学","総合入試理系","生物重点選抜-前期"
"000500390610","北海道大学","総合入試理系","総合科学選抜-前期"
"000501010110","北海道大学","文","人文科学-前期"
"000501010130","北海道大学","文","人文科学-後期"
"000502010110","北海道大学","法","法学-前期"
"000502010130","北海道大学","法","法学-後期"
"000503010110","北海道大学","経済","経済・経営-前期"
"000503010130","北海道大学","経済","経済・経営-後期"
"000506010110","北海道大学","教育","教育-前期"
"000506010130","北海道大学","教育","教育-後期"
"000510810930","北海道大学","理","数学-後期"
"000510811030","北海道大学","理","物理-後期"
"000510811130","北海道大学","理","化学-後期"
"000510811230","北海道大学","理","生物/生物学-後期"
"000510811330","北海道大学","理","生物/高分子機能学-後期"
"000510811430","北海道大学","理","地球惑星科学-後期"
"000511510230","北海道大学","工","情報エレクトロニクス系-後期"
"000511510530","北海道大学","工","機械知能工学系-後期"
"000511510630","北海道大学","工","応用理工系-後期"
"000511510730","北海道大学","工","環境社会工学系-後期"
"000513010110","北海道大学","医","医学-前期"
"000513010210","北海道大学","医","保健/看護学-前期"
"000513010310","北海道大学","医","保健/検査技術科学-前期"
"000513010330","北海道大学","医","保健/検査技術科学-後期"
"000513010410","北海道大学","医","保健/放射線技術科学-前期"
"000513010430","北海道大学","医","保健/放射線技術科学-後期"
"000513010510","北海道大学","医","保健/作業療法学-前期"
"000513010610","北海道大学","医","保健/理学療法学-前期"
"000513010630","北海道大学","医","保健/理学療法学-後期"
"000513210110","北海道大学","歯","歯学-前期"
"000513210130","北海道大学","歯","歯学-後期"
"000513410230","北海道大学","薬","薬科学・薬学-後期"
"000515510430","北海道大学","農","全学科-後期"
"000515800110","北海道大学","水産","全学科-前期"
"000515800130","北海道大学","水産","全学科-後期"
"000516510110","北海道大学","獣医","共同獣医学-前期"
"000516510130","北海道大学","獣医","共同獣医学-後期"
"001006111310","北海道教育大学","教育・札幌校","教員/教育臨床-前期"
"001006111330","北海道教育大学","教育・札幌校","教員/教育臨床-後期"
"001006111410","北海道教育大学","教育・札幌校","教員/特別支援教育-前期"
"001006111430","北海道教育大学","教育・札幌校","教員/特別支援教育-後期"
"001006111510","北海道教育大学","教育・札幌校","教員/総合学習開発-前期"
"001006111530","北海道教育大学","教育・札幌校","教員/総合学習開発-後期"
"001006111610","北海道教育大学","教育・札幌校","教員/基礎学習開発-前期"
"001006111630","北海道教育大学","教育・札幌校","教員/基礎学習開発-後期"
"001006111710","北海道教育大学","教育・札幌校","教員/養護教育-前期"
"001006111730","北海道教育大学","教育・札幌校","教員/養護教育-後期"
"001006120810","北海道教育大学","教育・函館校","人間/人間発達-前期"
"001006120830","北海道教育大学","教育・函館校","人間/人間発達-後期"
"001006120910","北海道教育大学","教育・函館校","人間/国際文化・協力-前期"
"001006120930","北海道教育大学","教育・函館校","人間/国際文化・協力-後期"
"001006121010","北海道教育大学","教育・函館校","人間/地域創生-前期"
"001006121030","北海道教育大学","教育・函館校","人間/地域創生-後期"
"001006121110","北海道教育大学","教育・函館校","人間/情報科学-前期"
"001006121130","北海道教育大学","教育・函館校","人間/情報科学-後期"
"001006121210","北海道教育大学","教育・函館校","人間/環境科学-前期"
"001006121230","北海道教育大学","教育・函館校","人間/環境科学-後期"
"001006131010","北海道教育大学","教育・旭川校","教員/教育発達-前期"
"001006131030","北海道教育大学","教育・旭川校","教員/教育発達-後期"
"001006131110","北海道教育大学","教育・旭川校","教員/英語教育-前期"
"001006131130","北海道教育大学","教育・旭川校","教員/英語教育-後期"
"001006131210","北海道教育大学","教育・旭川校","教員/国語教育-前期"
"001006131230","北海道教育大学","教育・旭川校","教員/国語教育-後期"
"001006131310","北海道教育大学","教育・旭川校","教員/数学教育-前期"
"001006131330","北海道教育大学","教育・旭川校","教員/数学教育-後期"
"001006131410","北海道教育大学","教育・旭川校","教員/理科教育-前期"
"001006131430","北海道教育大学","教育・旭川校","教員/理科教育-後期"
"001006131510","北海道教育大学","教育・旭川校","教員/社会科教育-前期"
"004506010530","岩手大学","教育","学校/特別支援教育-後期"
"004506010610","岩手大学","教育","芸術/音楽-前期"
"004506010630","岩手大学","教育","芸術/音楽-後期"
"004506010710","岩手大学","教育","芸術/美術･デザイン-前期"
"004506010730","岩手大学","教育","芸術/美術･デザイン-後期"
"004506010810","岩手大学","教育","芸術/書道-前期"
"004506010830","岩手大学","教育","芸術/書道-後期"
"004506010910","岩手大学","教育","生涯/日本語･地域文化-前期"
"004506010930","岩手大学","教育","生涯/日本語･地域文化-後期"
"004506011010","岩手大学","教育","生涯/スポーツ教育-前期"
"004511510110","岩手大学","工","機械システム工-前期"
"004511510130","岩手大学","工","機械システム工-後期"
"004511510210","岩手大学","工","電気電子･情報システム工-前期"
"004511510230","岩手大学","工","電気電子･情報システム工-後期"
"004511510310","岩手大学","工","社会環境工-前期"
"004511510330","岩手大学","工","社会環境工-後期"
"004511510410","岩手大学","工","応用化学･生命工学-前期"
"004511510430","岩手大学","工","応用化学･生命工学-後期"
"004511510510","岩手大学","工","マテリアル工-前期"
"004511510530","岩手大学","工","マテリアル工-後期"
"004515510110","岩手大学","農","共同獣医-前期"
"004515510130","岩手大学","農","共同獣医-後期"
"004515510210","岩手大学","農","共生環境-前期"
"004515510230","岩手大学","農","共生環境-後期"
"004515510310","岩手大学","農","農学生命-前期"
"004515510330","岩手大学","農","農学生命-後期"
"004515510410","岩手大学","農","応用生物化学-前期"
"004515510430","岩手大学","農","応用生物化学-後期"
"004515510510","岩手大学","農","動物科学-前期"
"004515510530","岩手大学","農","動物科学-後期"
"005001010110","東北大学","文","人文社会-前期"
"005002010110","東北大学","法","法学-前期"
"005003010110","東北大学","経済","経済・経営-前期"
"005003010130","東北大学","経済","経済・経営-後期"
"005006010110","東北大学","教育","教育科学-前期"
"005010810110","東北大学","理","数学系-前期"
"005010810130","東北大学","理","数学系-後期"
"005010810210","東北大学","理","物理系-前期"
"005010810230","東北大学","理","物理系-後期"
"005010810310","東北大学","理","化学系-前期"
"005010810330","東北大学","理","化学系-後期"
"005010810410","東北大学","理","生物系-前期"
"005010810430","東北大学","理","生物系-後期"
"005010810510","東北大学","理","地球科学系-前期"
"005010810530","東北大学","理","地球科学系-後期"
"005011510110","東北大学","工","機械知能・航空工-前期"
"005011510210","東北大学","工","情報知能システム総合-前期"
"005011510310","東北大学","工","化学・バイオ工-前期"
"005011510410","東北大学","工","建築・社会環境工-前期"
"005011510510","東北大学","工","材料科学総合-前期"
"005013010110","東北大学","医","医学-前期"
"005013010210","東北大学","医","保健/看護学-前期"
"005013010310","東北大学","医","保健/検査技術科学-前期"
"005013010410","東北大学","医","保健/放射線技術科学-前期"
"005013210110","東北大学","歯","歯学-前期"
"005013410210","東北大学","薬","創薬科学・薬学-前期"
"005015510110","東北大学","農","生物生産科学・応用生物化学-前期"
"005506013010","宮城教育大学","教育","中等/英語-前期"
"005506013030","宮城教育大学","教育","中等/英語-後期"
"005506013110","宮城教育大学","教育","中等/国語-前期"
