生徒ID,講座名,課題名,教科,年度,回数,点数,提出日,採点日,備考
81000001,東大2次演習,東大英語2025,英語,2025,1,88,2026-05-14,2026-05-15,
81000005,東大2次演習,東大英語2024,英語,2024,1,76,2026-05-14,2026-05-15,
81000010,東大2次演習,東大英語2024,英語,2024,1,71,2026-05-14,2026-05-15,
81000014,東大2次演習,東大英語2025,英語,2025,1,63,2026-05-14,2026-05-15,
81000018,東大2次演習,東大英語2024,英語,2024,1,49,2026-05-14,2026-05-15,基準点未達確認
81000029,東大2次演習,東大英語2025,英語,2025,1,28,2026-05-14,2026-05-15,基準点未達確認
81000030,東大2次演習,東大英語2024,英語,2024,1,,2026-05-14,,点数未入力
81000041,東大2次演習,東大英語2024,英語,2024,1,,,,未提出
81000046,東大2次演習,東大英語2025,英語,2025,1,49,2026-05-14,2026-05-15,基準点未達確認
81000001,東大2次演習,東大英語2024,英語,2024,2,88,2026-05-14,2026-05-15,
81000003,京大2次演習,京大英語2025,英語,2025,1,88,2026-05-14,2026-05-15,
81000007,京大2次演習,京大英語2025,英語,2025,1,76,2026-05-14,2026-05-15,
81000011,京大2次演習,京大英語2025,英語,2025,1,71,2026-05-14,2026-05-15,
81000015,京大2次演習,京大英語2025,英語,2025,1,63,2026-05-14,2026-05-15,
81000019,京大2次演習,京大英語2025,英語,2025,1,49,2026-05-14,2026-05-15,基準点未達確認
81000031,京大2次演習,京大英語2025,英語,2025,1,28,2026-05-14,2026-05-15,基準点未達確認
81000032,京大2次演習,京大英語2025,英語,2025,1,,,,未提出
81000043,京大2次演習,京大英語2025,英語,2025,1,,2026-05-14,,点数未入力
81000047,京大2次演習,京大英語2025,英語,2025,2,63,2026-05-14,2026-05-15,
81000024,京大2次演習,京大英語2025,英語,2025,2,76,2026-05-14,2026-05-15,
81000002,名大2次演習,名大英語2025,英語,2025,1,88,2026-05-14,2026-05-15,
81000012,名大2次演習,名大英語2025,英語,2025,1,71,2026-05-14,2026-05-15,
81000020,名大2次演習,名大英語2025,英語,2025,1,49,2026-05-14,2026-05-15,基準点未達確認
81000026,名大2次演習,名大英語2025,英語,2025,1,,2026-05-14,,点数未入力
81000028,名大2次演習,名大英語2025,英語,2025,1,88,2026-05-14,2026-05-15,
81000042,名大2次演習,名大英語2025,英語,2025,1,,,,未提出
81000045,名大2次演習,名大英語2025,英語,2025,1,28,2026-05-14,2026-05-15,基準点未達確認
81000006,名大2次演習,名大数学2025,数学,2025,2,76,2026-05-14,2026-05-15,
81000016,名大2次演習,名大数学2025,数学,2025,2,63,2026-05-14,2026-05-15,
81000025,名大2次演習,名大数学2025,数学,2025,2,28,2026-05-14,2026-05-15,基準点未達確認
81000027,名大2次演習,名大数学2025,数学,2025,2,,,,未提出
81000039,名大2次演習,名大数学2025,数学,2025,2,54,2026-05-14,2026-05-15,年度違い確認
81000023,名大2次演習,名大数学2025,数学,2025,2,,2026-05-14,,点数未入力
81000050,名大2次演習,名大数学2025,数学,2025,2,71,2026-05-14,2026-05-15,
81000051,東大2次演習,東大英語2025,英語,2025,2,76,2026-05-14,2026-05-15,
81000052,京大2次演習,京大英語2025,英語,2025,2,88,2026-05-14,2026-05-15,
81000053,名大2次演習,名大英語2025,英語,2025,2,63,2026-05-14,2026-05-15,
81000054,名大2次演習,名大数学2025,数学,2025,2,49,2026-05-14,2026-05-15,基準点未達確認
81000055,東大2次演習,東大英語2024,英語,2024,2,,,,未提出
81000056,京大2次演習,京大英語2025,英語,2025,2,,2026-05-14,,点数未入力
